user_id,good_id,action,1213878200
22103,10190,2,1263722000
71063,10190,3,1378396800
23929,10190,2,1379001600
207223,10190,3,1330037600
787,10190,3,1229616000
33007,10190,2,1368892800
100016,10190,3,1316188800
3220,10190,3,1366300800
3387,10190,3,1331281600
3673,10190,3,1339302200
96339,10190,3,1389369600
133,10190,3,1333972200
1023,10190,3,1316620800
2913,10190,3,1392132200
2709,10190,3,1262089600
773023,10190,2,1331267200
287226,10190,2,1381766200
206333,10190,3,1398096000
826302,10190,3,1339776000
30261,10190,3,1386086200
127292,10190,3,1238732800
8022,10190,3,1333621600
8378,10190,2,1392620000
2638,10190,3,1370102200
32622,10190,3,1363793200
29398,10190,2,1382272000
2226,10190,3,1236009600
278323,10190,3,1331783600
122066,10190,3,1382099200
238269,10190,3,1333628800
12787,10190,3,1368806200
8707,10190,2,1339907200
33693,10190,3,1338220800
22312,10190,3,1369823200
837,10190,2,1373977600
21626,10190,3,1378636000
1287,10190,3,1370188800
200631,10190,2,1381220800
32629,10190,3,1328023600
2027,10190,3,1329208000
10660,10190,2,1293020800
29360,10190,3,1370016000
12937,10190,2,1292860800
68223,10190,3,1393676800
11379,10190,3,1312212200
209289,10190,2,1323822000
182128,10190,3,1318328800
1133,10190,3,1396886200
330639,10190,3,1397039200
62298,10190,3,1209916800
6362,10190,3,1322232200
1211,10190,3,1388392000
1233622,10190,3,1377100800
19866,10190,3,1363881600
169663,10190,3,1333812200
2697,10190,3,1371916800
370282,10190,3,1322182200
280919,10190,3,1319817600
28317,10190,3,1282307200
13823,10190,3,1337313200
23328,10190,2,1370793600
32793,10190,3,1321323600
3120,10190,2,1306682800
110761,10190,2,1337616000
2361,10190,2,1383128800
239923,10190,3,1361116800
67632,10190,3,1323692800
3227,10190,3,1387382200
39960,10190,3,1362032200
39093,10190,3,1321222800
22927,10190,3,1326729600
181323,10190,3,1383667200
11962,10190,3,1372089600
8366,10190,2,1372308800
10998,10190,3,1362286200
66328,10190,2,1303907200
286722,10190,3,1339230200
70822,10190,3,1311262000
2398,10190,3,1372176000
336292,10190,3,1377100800
26882,10190,3,1326729600
83169,10190,3,1382889600
9360,10190,3,1211731200
2239,10190,2,1388392000
20269,10190,3,1337873200
22366,10190,2,1313683200
101972,10190,3,1377792000
203873,10190,3,1383827200
3733,10190,3,1382331200
21993,10190,3,1389972200
932830,10190,3,1396232200
83387,10190,3,1381073200
3728,10190,3,1396320800
22120,10190,2,1372163200
37083,10190,3,1387268800
1071933,10190,2,1397377600
1072280,10190,3,1382889600
98723,10190,3,1332982200
266363,10190,3,1378031200
11373,10190,2,1390732000
32,10190,3,1363236800
93222,10190,2,1309336000
32281,10190,3,1370707200
19636,10190,3,1313310200
70020,10190,3,1386930200
22207,10190,3,1393217600
269786,10190,3,1321763200
22173,10190,2,1363091200
239,10190,3,1378137600
21383,10190,3,1297938200
138337,10190,2,1393138200
1730,10190,2,1318933600
22877,10190,3,1360682800
36823,10190,3,1228362800
623337,10190,3,1313929600
27379,10190,3,1381228000
12923,10190,3,1397291200
7220,10190,3,1396281600
209918,10190,3,1393862200
828192,10190,3,1328828000
111332,10190,2,1219680000
2199,10190,3,1318089600
33391,10190,3,1388160000
611827,10190,3,1268382200
2222,10190,2,1383233200
33292,10190,3,1286121600
18727,10190,3,1233662000
221632,10190,2,1337228800
1283,10190,3,1333209600
9798,10190,3,1378031200
611632,10190,3,1323962800
333730,10190,3,1382331200
10223,10190,3,1222232000
209889,10190,3,1377792000
236010,10190,3,1222323600
331771,10190,3,1392632800
33822,10190,3,1361289600
99603,10190,3,1323172200
6039,10190,3,1320983600
182398,10190,3,1393138200
23392,10190,3,1380211200
32723,10190,3,1203330200
29811,10190,2,1223168000
236971,10190,3,1392393600
7380,10190,3,1279812200
229226,10190,3,1383926200
112220,10190,3,1338739200
1928,10190,2,1267632000
60322,10190,2,1332232000
181700,10190,2,1389628800
123611,10190,3,1323132800
27627,10190,3,1376733200
27009,10190,3,1372867200
17263,10190,3,1323360000
238610,10190,3,1397836800
10173,10190,2,1363017600
32722,10190,3,1371637600
32332,10190,3,1392307200
201726,10190,2,1397202800
30983,10190,3,1386602800
2330,10190,3,1392220800
8639,10190,3,1283322000
31660,10190,3,1332896000
22638,10190,2,1366387200
29973,10190,3,1367231200
28612,10190,3,1362200000
77683,10190,3,1377792000
86126,10190,3,1299313600
31793,10190,3,1303313200
20763,10190,3,1339862200
32933,10190,3,1373113600
23380,10190,3,1380038200
62238,10190,3,1362200000
69192,10190,3,1313396800
8381,10190,3,1380297600
198228,10190,3,1317916800
17772,10190,3,1383292200
3882,10190,3,1336060800
33378,10190,3,1369823200
21881,10190,3,1389369600
162931,10190,3,1223368000
9200,10190,3,1227322200
83221,10190,3,1386323600
2233,10190,3,1333283200
101027,10190,3,1377619200
2706,10190,3,1321222800
16196,10190,2,1397039200
22662,10190,3,1382630200
23610,10190,2,1207132000
18827,10190,2,1220136800
13231,10190,2,1336231200
121081,10190,2,1386323600
10713,10190,3,1318176000
622,10190,3,1392620000
137227,10190,2,1390127200
3612,10190,2,1388678200
2283,10190,3,1363793200
908,10190,3,1237278200
13623,10190,2,1332862000
129822,10190,3,1368720000
1233,10190,3,1288972800
9982,10190,3,1223168000
78,10190,2,1333022000
31378,10190,2,1338263600
191623,10190,3,1382702000
21936,10190,3,1339273200
28778,10190,3,1326688000
1939,10190,3,1319902000
60731,10190,3,1312633600
9600,10190,2,1398328000
203891,10190,3,1368288000
1733,10190,2,1366300800
3399,10190,3,1389628800
399397,10190,3,1373977600
79170,10190,3,1326902200
120977,10190,3,1338132200
7213,10190,2,1386239200
2183,10190,3,1377100800
81812,10190,3,1382099200
22970,10190,2,1386232000
178728,10190,2,1386086200
210080,10190,2,1360312000
108,10190,3,1381393600
7769,10190,3,1222012800
11069,10190,2,1329733600
32016,10190,3,1387382200
3061,10190,3,1333068800
38331,10190,3,1386086200
26986,10190,2,1382876800
16612,10190,3,1322310200
2369,10190,3,1233222800
10710,10190,3,1391961600
83,10190,3,1380122800
71730,10190,3,1222222800
3283,10190,3,1368201600
13032,10190,3,1333812200
12030,10190,2,1360166200
18899,10190,3,1226330200
331868,10190,2,1387123200
1320,10190,2,1322281600
937,10190,2,1320380800
